GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.142857143,7.102040816,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,2.285714286,3.918367347,A
MALE,25,CHINA,TIADA PENAJA,ANALITIK BISNES,9.5,5.714285714,9.795918367,B-
MALE,26,YEMEN,BIASISWA,ANALITIK BISNES,10,3.142857143,5.387755102,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.428571429,5.87755102,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.714285714,11.51020408,A
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,5.428571429,9.306122449,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,4.571428571,7.836734694,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,3,5.142857143,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,2.714285714,4.653061224,A
MALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.714285714,6.367346939,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.714285714,4.653061224,A
MALE,23,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,1.714285714,2.93877551,A
MALE,25,UZBEKISTAN,TIADA PENAJA,ANALITIK BISNES,9.5,8,13.71428571,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.571428571,11.26530612,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.428571429,4.163265306,A
MALE,24,MALAYSIA,BIASISWA,ANALITIK BISNES,9.5,0.285714286,0.489795918,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,0.857142857,1.469387755,B
MALE,32,CHINA,TIADA PENAJA,ANALITIK BISNES,7.5,2.428571429,4.163265306,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,0,2.142857143,3.673469388,F
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.571428571,4.408163265,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,B
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5.142857143,8.816326531,B+
MALE,28,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.571428571,6.12244898,B
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,3.428571429,5.87755102,A
MALE,26,CHINA,TIADA PENAJA,ANALITIK BISNES,9.5,5.142857143,8.816326531,B
