GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,GRADE
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,0.857142857,1.469387755,1.574344023,1.199500208,B
MALE,32,CHINA,TIADA PENAJA,ANALITIK BISNES,7.5,2.428571429,4.163265306,4.460641399,3.398583923,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,0,2.142857143,3.673469388,3.935860058,2.998750521,F
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.571428571,4.408163265,4.72303207,3.598500625,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,B
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5.142857143,8.816326531,9.44606414,7.197001249,B+
MALE,28,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.571428571,6.12244898,6.559766764,4.997917534,B
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,3.428571429,5.87755102,6.297376093,4.798000833,A
MALE,26,CHINA,TIADA PENAJA,ANALITIK BISNES,9.5,5.142857143,8.816326531,9.44606414,7.197001249,B
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,2,3.428571429,3.673469388,2.798833819,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5,8.571428571,9.183673469,6.997084548,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,2,3.428571429,3.673469388,2.798833819,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,5.714285714,9.795918367,10.49562682,7.996668055,A
FEMALE,27,"KOREA, REPUBLIC OF",TIADA PENAJA,ANALITIK BISNES,10,5.714285714,9.795918367,10.49562682,7.996668055,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,5,2.857142857,4.897959184,5.247813411,3.998334027,B+
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,5,3,5.142857143,5.510204082,4.198250729,A
MALE,27,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.285714286,3.918367347,4.198250729,3.198667222,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,4.142857143,7.102040816,7.609329446,5.79758434,A
MALE,25,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,4.142857143,7.102040816,7.609329446,5.79758434,A
FEMALE,25,MALAYSIA,BIASISWA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9.5,5,8.571428571,9.183673469,6.997084548,A
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,2.714285714,4.653061224,4.985422741,3.798417326,A
MALE,25,MALAYSIA,BIASISWA,ANALITIK BISNES,10,4,6.857142857,7.346938776,5.597667638,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1,1.714285714,1.836734694,1.39941691,B+
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,2,3.428571429,3.673469388,2.798833819,A
FEMALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,8.18,0.714285714,1.224489796,1.311953353,0.999583507,B
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,7.72,2.428571429,4.163265306,4.460641399,3.398583923,B+
MALE,44,MALAYSIA,BIASISWA,ANTARA RANGKAIAN,10,4.714285714,8.081632653,8.658892128,6.597251145,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.142857143,0.244897959,0.262390671,0.199916701,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1.142857143,1.959183673,2.099125364,1.599333611,A-
